postnummer,NDI,NDI_rank
54491,.12463249,.59107804
54492,-.25767449,.41195461
54493,-.11570302,.47818431
54494,-.30964735,.38612795
54530,-1.7246565,.04431618
54531,-1.4471368,.069849342
54532,-1.7885478,.039718255
54533,-.78516686,.20671101
54534,.10265973,.58080608
54535,.18899046,.61925262
54572,-2.2100542,.018293876
54590,-.16175064,.45724908
54591,-.67274201,.23967913
54592,-1.1981901,.10839366
54593,-.43923324,.32850716
54630,-.26886031,.40667188
54631,-.15770242,.45920563
54632,-.98085427,.15495989
54633,-.12002423,.47622773
54634,.17721049,.61485034
54672,-.32901984,.37683427
54673,-.92205149,.17061241
54691,-.13477944,.46957543
54692,.11686586,.58755624
54693,-.066201881,.4996087
54694,-.95449209,.16112307
54695,-.09462437,.48796713
54730,-1.5651226,.058207788
54731,-1.6993291,.046370573
54772,-.95558,.16063392
54791,-.68612134,.23517902
54792,-.61443746,.26081002
54793,-1.1489857,.11758951
54831,-.95088887,.16210134
54832,-1.967979,.027685385
54873,-1.2408096,.10066523
54874,-1.1446661,.11866562
54891,-.49427342,.30649579
54892,-.4945069,.30639797
54893,-.38510713,.35139894
54931,-1.656619,.049794562
54941,-1.258039,.098219529
54991,-.53351814,.29231071
54992,-.45441183,.32175699
54993,-.57563025,.27587557
55302,-.74567956,.21688515
55303,-3.0952175,.0035218156
55307,.25671577,.64860106
55308,.61116272,.77206028
55310,.2925666,.66307962
55311,.96960086,.85335553
55312,.82718509,.82390922
55313,.8469376,.82762671
55314,-.82344621,.19428684
55315,-.33981702,.37233418
55316,-.0054143015,.52983761
55317,-.26485825,.40843278
55318,-.79856926,.20348269
55320,.18272118,.61612207
55321,.21696821,.63236159
55322,-.15019697,.46262962
55323,.52099425,.74369007
55324,.53829366,.74877715
55330,.7633425,.81011546
55331,-.51675272,.29876736
55332,.04613914,.55360985
55333,.21845783,.63333988
55334,.048780106,.55517513
55335,-.0096756108,.5283702
55336,.40618774,.70446098
55337,.19906399,.62473094
55338,.6611644,.78487575
55339,.096505009,.57738209
55438,1.3504014,.91772646
55439,1.0756013,.87311679
55445,-.58130729,.27333203
55446,1.4971999,.93494421
55447,.67444509,.78751713
55448,1.5966803,.94531405
55449,1.2869457,.90882409
55450,.045687553,.55331635
55451,.040830534,.55135983
55452,-.015814379,.52494621
55453,-.47551504,.31295246
55454,.30857003,.66738409
55456,-.17723788,.44961846
55457,-.64693779,.24838583
55458,-.34620607,.36939934
55459,.75616121,.80766976
55462,.64123917,.77988654
55463,-1.2544469,.098513015
55464,-1.4624952,.067794949
55465,-1.0799034,.1317746
55466,.5061183,.7389943
55472,.21465017,.63148111
55473,.06375359,.56261003
55474,.42873457,.71395028
55475,-.65853345,.24417922
55592,.41487655,.70856977
55593,.43832904,.71629816
55594,.2417952,.64263356
55610,-1.7932113,.039229114
55611,-1.762675,.041772649
55612,-1.3164436,.08863236
55614,-1.0935975,.12874193
55625,1.0346891,.8657797
55626,.81154585,.82028955
55627,.73611277,.80219138
55628,.54525059,.75161415
55629,-1.1402626,.11974173
55631,.44907606,.71991783
55632,.012602162,.53932697
55633,-.033654399,.51604384
55650,-.16796599,.45343378
56013,-.049497355,.50704366
56130,-.15202959,.46135786
56131,-1.4099795,.075914696
56132,-.4903329,.30806103
56133,-.3401238,.37213853
56134,.71965951,.79690862
56135,1.1137269,.88045394
56136,.70371658,.79416943
56138,.83727056,.82615924
56139,.45686969,.72304833
56140,.71029603,.7953434
56141,-1.3320743,.0866758
56142,.036252275,.54930544
56143,-.15027127,.46243396
56144,-.051600259,.50606537
56146,.73889744,.8034631
56148,.17575532,.61445904
56149,-1.6288654,.051751126
56150,-1.5445366,.060946979
56151,-.41599196,.33760518
56160,.40367031,.70299357
56161,-.20502605,.43719429
56162,.56012321,.75630993
56163,.28622228,.6604383
56191,.42212975,.71150458
56192,.72643971,.79906082
56193,.42715025,.71375465
56195,.14368847,.59958911
56196,.097702444,.57826257
56230,.18931887,.61954606
56231,.04876966,.55507725
56232,-.44489583,.32547447
56233,1.106872,.87908435
56240,.52443314,.74447268
56241,.24938518,.64576405
56242,.2163862,.6320681
56250,-.10078512,.48542359
56291,.0094800992,.53756601
56331,-.63522536,.25269029
56332,.26530948,.65222073
56391,-.11939281,.47671688
56392,.2667315,.65280765
56393,.55363393,.75405985
56394,-.68788528,.23449422
56431,-.5441646,.28820193
56432,.98918515,.85717082
56433,.0078013991,.53697908
56434,1.282432,.90813929
56435,.76312375,.81001759
56436,1.2762711,.907161
56491,.76166213,.80923498
56531,-.76834023,.21042849
56532,.48004514,.73077673
56533,-.27940929,.4015848
56534,-.50708634,.30228919
56576,-.25316194,.4136177
56591,-.10141706,.48493445
56592,.35747227,.68558013
56593,.3822844,.69526511
56594,-.69107038,.23351595
56596,.36954933,.69056934
56597,-.0036969639,.53101152
56631,-.11370958,.47906476
56632,-.11836984,.47701037
56633,.64394391,.78057134
56634,.030887553,.54695755
56635,.85398549,.82880062
56636,1.2737288,.90676969
56691,.0019756174,.53394639
56692,-.050087653,.50684798
56693,-.30489734,.38867149
56730,-1.1174232,.12404618
56731,.41865835,.71013498
56732,-.025789324,.51985914
56733,.23792394,.64136177
56791,.31046388,.66836238
56792,.40664041,.7046566
56793,-.13925159,.46747211
56830,-.25672027,.41254157
56831,-.31615251,.38319311
56832,-.30814838,.38710624
56891,.52013063,.74329877
